20 45
#############################################
#                                           #
#                                           #
#                                           #
#                                           #
#                                           #
#                                           #
#                #########                  #
#                #       #                  #
#                    *   #                  #
#                #       #                  #
#                #########                  #
#                                           #
#                                           #
#                                           #
#                                           #
#                                           $
#                                           #
#                                           #
#############################################
